zoneName,zoneNumber,mobNumber,mobName,mobKeywords,mobShortDesc,mobLongDesc,actionFlags,affectedByFlags,mobAlignment,mobLetter,mobLevel,mobHitroll,mobArmor,mobHPDieNumber,mobHPDieSize,mobHPBaseNumber,mobHPMinValue,mobHPMaxValue,mobHPAverage,mobHPAffective,mobDamDieNumber,mobDamDieSize,mobDamBaseNumber,mobDamMinValue,mobDamMaxValue,mobDamAverage,mobDamAffective,mobHitCount,mobEXP,mobCoins,mobCoinEXP,mobTotalExp,mobExpPerEffectiveHP,mobPosition,mobDefaultPosition,mobSex,mobClass,mobImmune,NoSpecialAttackLines,attackType,attackTarget,attackPercent,attackSpell,mobHitType,mobAct2Flags,mobAffectedBy2Flags,mobImmune2Flags
Golden Pagoda,264,26401," The Grand Vizier"," vizier"," The Grand Vizier sits here writing in his book. "," You see a small fat and bald man sweating away in the heat. He is the genius who manages all the affairs of the Emir as well as all the trade in and out of Jal-Pur. He wears a simple white robe embroidered with platinum and silver sequins. ",SCAVENGER ISNPC AGGRESSIVE STAY-ZONE WIMPY ARM,INVISIBLE DETECT-INVISIBLE SENSE-LIFE SANCTUARY INFRAVISION DODGE FURY,300,Y,50,-10,-10,12,10,6500,6512,6620,6566,13132,12,12,120,132,264,198,396,1,900000,0,0,900000,68,Standing,Standing,male,Human,,0,,,,,0,,,
Golden Pagoda,264,26402," The Emir of Jal-Pur"," emir malik"," Malik, the great Emir of Jal-Pur is relaxing here. "," His eminence the great Emir of the Sultanate is a stocky man with a long and thick moustache drooping over his lips. He wears rings on each of his fingers and a richly fashioned kaftan. He is a great fighter and a benefactor of his people, a just and righteous man. ",SENTINEL ISNPC STAY-ZONE MEMORY,SANCTUARY DUAL,1000,Y,54,-14,0,100,4,14750,14850,15150,15000,30000,8,30,118,126,358,242,314.6,1.3,1500000,100000,33333,1533333,51,Standing,Standing,male,Human,,0,,,,,0,,,
Golden Pagoda,264,26403," The Guide"," guide"," The Guide stands here protecting his blind mistress. "," You see a tall and well-built wrestler standing guard here. He is a mute who has been chosen to protect the Oracle. He is bald and wears a dress made from the skin of a white panther. He seems to be unaffected by the pain and suffering his mistress is going through. ",SENTINEL ISNPC AGGRESSIVE,DETECT-INVISIBLE SENSE-LIFE SANCTUARY INFRAVISION DODGE INVUL DUAL FURY,1000,Y,52,-12,-17,10,20,5500,5510,5700,5605,11210,20,8,60,80,220,150,390,1.3,500000,1,0,500000,44,Standing,Standing,male,Human,,0,,,,,0,,,
Golden Pagoda,264,26404," The Blind Seeress"," seeress mistress"," The Blind Seeress writhes in agony, in the grip of a powerful vision. "," You see a frail and sickly woman dressed in rags and other scrapings picked up from the garbage. Her hair is totally disheveled and her face is sticky from her tears. She seems to be laughing and crying at the same time. Between these bouts, she writhes out in agony and screams out her prophecies. ",SENTINEL ISNPC,SANCTUARY FURY,1000,Y,51,-10,-5,7,20,3000,3007,3140,3073.5,6147,10,10,100,110,200,155,310,1,200000,1,0,200000,32,Standing,Standing,female,Human,,0,,,,,0,,,
Golden Pagoda,264,26405," The Demon Statue"," statue demon"," The Demon Statue stands here waiting to be worshipped by you ! "," You see a large statue carved from fine red alabaster. The statue of the Demon-God of Jal-Pur stands here in grim silence waiting for worshippers to pay homage to it. The face of the statue is set in a diabolic grin and the eyes seem to follow your every move. Near the feet of the statue you can make out traces of blood and rotting bones and flesh - of humans ! ",SENTINEL ISNPC,INVISIBLE SANCTUARY SPHERE DUAL,0,Y,52,-12,-20,100,8,8000,8100,8800,8450,16900,11,15,80,91,245,168,218.4,1.3,800000,1,0,800000,47,Standing,Standing,male,Golem,,0,,,,,0,NO-TOKEN,,
Golden Pagoda,264,26406," A Jal-Purian Bedouin"," bedouin jal"," A Jal-Purian Bedouin stands here taking care of his business. "," You see a simple man dressed in white desert robes and a flowing headdress. As he opens his mouth to spit in the sand, you glimpse at his teeth capped with pure gold. He seems to be minding his own business and does not seem to mind the heat nor does he acknowledge your presence. ",ISNPC STAY-ZONE MEMORY,INFRAVISION SNEAK DUAL,100,Y,50,-12,-8,10,600,8500,8510,14500,11505,11505,10,4,55,65,95,80,104,1.3,955555,15000,5000,960555,83,Standing,Standing,male,Human,,0,,,,,0,NO-TOKEN,,
Golden Pagoda,264,26407," Suleyman the Soothsayer"," suleyman soothsayer"," Suleyman the Soothsayer is here trying to make contact with ethereal beings. "," You see an old man with a hunched back and long white hair. Suleyman the Soothsayer is the most ancient Jal-Purian and his sayings are treated with respect. Suleyman has very thin watery eyes and he seems to be lost in his own dreams, mumbling to himself. ",SENTINEL ISNPC,DETECT-INVISIBLE SANCTUARY INFRAVISION DUAL,-100,Y,41,-13,-6,50,10,7900,7950,8400,8175,16350,10,4,14,24,54,39,50.7,1.3,1200000,25000,8333,1208333,73,Standing,Standing,male,Human,,0,,,,,0,NO-TOKEN,,
Golden Pagoda,264,26408," Hassan"," hassan"," Hassan is here tending to his horses. "," You see a tall and gentle man walking around tending his horses. He wears a brown robe and has long flowing black hair. Hassan talks to his horses like they actually understand him. He appears to be a very peaceful man as he turns towards you and offers you a saddle to try out some steeds. ",SENTINEL ISNPC,DETECT-INVISIBLE SANCTUARY INFRAVISION DUAL,-100,Y,41,-13,-6,50,10,7900,7950,8400,8175,16350,10,4,14,24,54,39,50.7,1.3,1200000,25000,8333,1208333,73,Standing,Standing,male,Human,,0,,,,,0,NO-TOKEN,,
Golden Pagoda,264,26409," Jabal the Jeweller"," jabal jeweller"," Jabal the Jeweller is here valuing some exquisite gemstones. "," You see a fat and greedy bald man seating behind the counter counting his gold coins. Jabal the Jeweller is known to have swindled many a traveller especially those who cannot identify fake gems. He wears expensive robes and a plethora of gold chains and necklaces. He seems to be eyeing your jewels very closely ! ",SENTINEL ISNPC,DETECT-INVISIBLE SANCTUARY INFRAVISION DUAL,-100,Y,41,-13,-6,50,10,7900,7950,8400,8175,16350,10,4,14,24,54,39,50.7,1.3,1200000,25000,8333,1208333,73,Standing,Standing,male,Human,,0,,,,,0,NO-TOKEN,,
Golden Pagoda,264,26410," Magan"," magan"," Magan stands here making some delicious sandwiches. "," You see a short stocky fellow with a small moustache making some cheese here. Magan has a flock of sheep and cows with whose milk he makes fresh cheese for the Sultanate every morning. He wears a simple tunic with a white soiled apron over it. He seems to be enjoying his work and hums a light melody as he goes about it. ",SENTINEL ISNPC,DETECT-INVISIBLE SANCTUARY INFRAVISION DUAL,-100,Y,41,-13,-6,50,10,7900,7950,8400,8175,16350,10,4,14,24,54,39,50.7,1.3,1200000,25000,8333,1208333,73,Standing,Standing,male,Human,,0,,,,,0,NO-TOKEN,,
Golden Pagoda,264,26411," Tarek the Tinker"," tarek tinker"," Tarek the Tinker is here fixing some weird contraption. "," You see an old man wearing a thick pince-nez on his nose bending over some weird contraption. He seems to be completely involved with what he is trying to repair and does not notice you. He is wearing an old robe and a pair of socks which don't match. There is a wild glint in his eyes. ",SENTINEL ISNPC,DETECT-INVISIBLE SANCTUARY INFRAVISION DUAL,-100,Y,41,-13,-6,50,10,7900,7950,8400,8175,16350,10,4,14,24,54,39,50.7,1.3,1200000,25000,8333,1208333,73,Standing,Standing,male,Human,,0,,,,,0,NO-TOKEN,,
Golden Pagoda,264,26412," Abdul the Astrologer"," abdul astrologer"," Abdul the Astrologer is here studying some celestial maps. "," You see an elderly gentleman dressed in white robes peering over some charts on the table. Abdul is the renowned astrologer around these parts and charges a pittance to advise all those who believe in the powers of the Zodiac. He gestures to you to come and have a look at something new that he has discovered on his charts. ",SENTINEL ISNPC,DETECT-INVISIBLE SANCTUARY INFRAVISION DUAL,-100,Y,41,-13,-6,50,10,7900,7950,8400,8175,16350,10,4,14,24,54,39,50.7,1.3,1200000,25000,8333,1208333,73,Standing,Standing,male,Human,,0,,,,,0,NO-TOKEN,,
Golden Pagoda,264,26413," Ali the Carpet Salesman"," ali"," Ali the Carpet Salesman is here dusting his fine carpets and shawls. "," Ali the carpet salesman is a very popular boy around these parts - a favorite of all the young maidens. He is a dashing lad in his teens wearing a tiny vest and a red hat. His charming smile and innocent eyes make you feel at ease with him and he uses this to his advantage as he tries to sell you a carpet. ",SENTINEL ISNPC,DETECT-INVISIBLE SANCTUARY INFRAVISION DUAL,-100,Y,41,-13,-6,50,10,7900,7950,8400,8175,16350,10,4,14,24,54,39,50.7,1.3,1200000,25000,8333,1208333,73,Standing,Standing,male,Human,,0,,,,,0,NO-TOKEN,,
Golden Pagoda,264,26414," Casim the Cobbler"," casim cobbler"," Casim the Cobbler is here fixing a sole onto a worn out shoe. "," You see a simple middle-aged man with strong arms and rugged hands. From his shabby attire you can make out how poor Casim really is. Casim seems to be humming a strange tune and his face lights up in a huge grin at the sight of a new customer. He tries to grab at your boots as you enter his shop. ",SENTINEL ISNPC,DETECT-INVISIBLE SANCTUARY INFRAVISION DUAL,-100,Y,41,-13,-6,50,10,7900,7950,8400,8175,16350,10,4,14,24,54,39,50.7,1.3,1200000,25000,8333,1208333,73,Standing,Standing,male,Human,,0,,,,,0,NO-TOKEN,,
Golden Pagoda,264,26415," Fatima the Fortune Teller"," fatima"," Fatima the Fortune Teller sits here gazing into the mists of her crystal ball. "," You see an old hag of a woman sitting here gazing into a crystal ball. Fatima the fortune-teller is a gypsy and an ugly one at that. She wears long purple robes with black symbols drawn into it. She is cock-eyed and seems to be drooling as she speaks. Her eyes seem to light up and she cackles as she observes something in her mystical ball. ",SENTINEL ISNPC,DETECT-INVISIBLE SANCTUARY INFRAVISION DUAL,-100,Y,41,-13,-6,50,10,7900,7950,8400,8175,16350,10,4,14,24,54,39,50.7,1.3,1200000,25000,8333,1208333,73,Standing,Standing,male,Human,,0,,,,,0,NO-TOKEN,,
Golden Pagoda,264,26416," Das the Bartender"," das bartender"," Das the Bartender is mixing some cool drinks behind the bar. "," You see a simpleton of a man standing here mixing some refreshing drinks. He is wearing a loose-fitting apron. Das the Bartender is a slow-witted man who took to bartending because he could not learn any other trade. He stands here trying to look as if he really knows what he is doing. ",SENTINEL ISNPC,DETECT-INVISIBLE SANCTUARY INFRAVISION DUAL,-100,Y,41,-13,-6,50,10,7900,7950,8400,8175,16350,10,4,14,24,54,39,50.7,1.3,1200000,25000,8333,1208333,73,Standing,Standing,male,Human,,0,,,,,0,NO-TOKEN,,
Golden Pagoda,264,26417," Nisha the Masseuse"," nisha masseuse"," Nisha the Masseuse cracks her knuckles to give you a relaxing rub down. "," Your senses are inflamed as you see Nisha. She is an extremely sensuous woman wearing a skimpy little blouse and a wraparound towel skirt. She is an expert at giving all kinds of massages which she has learnt from her family members. She cracks her fingers and beckons you to lie down on the massage table to try out one of her famous rub downs. ",SENTINEL ISNPC,DETECT-INVISIBLE SANCTUARY INFRAVISION DUAL,-100,Y,41,-13,-6,50,10,7900,7950,8400,8175,16350,10,4,14,24,54,39,50.7,1.3,1200000,25000,8333,1208333,73,Standing,Standing,male,Human,,0,,,,,0,NO-TOKEN,,
Golden Pagoda,264,26418," Bassoun the Barber"," bassoun barber"," Bassoun the Barber stands here giving someone a quick haircut. "," Bassoun the barber is a lanky man with a balding scalp and neatly trimmed beard and moustache. He is the best coiffure in the Sultanate and also the biggest gossip around. If there's some news you want - he's the right person to get it from first-hand ! He wears a long white apron and has a pair of scissors in his hands. ",SENTINEL ISNPC,DETECT-INVISIBLE SANCTUARY INFRAVISION DUAL,-100,Y,41,-13,-6,50,10,7900,7950,8400,8175,16350,10,4,14,24,54,39,50.7,1.3,1200000,25000,8333,1208333,73,Standing,Standing,male,Human,,0,,,,,0,NO-TOKEN,,
Golden Pagoda,264,26419," Hama the Tobacconist"," hama tobacconist"," Hama the Tobacconist is here arranging cigars in his humidor. "," You see a rotund man coughing away as he arranges his cigars and other smokables. Hama the tobacconist has the best collection of tobacco in the Sultanate and it is said that the Grand Emir gets his cigars from here also. As you come closer you notice that Hama's lips are burnt black and his fingers are stained yellow from the nicotine. ",SENTINEL ISNPC,DETECT-INVISIBLE SANCTUARY INFRAVISION DUAL,-100,Y,41,-13,-6,50,10,7900,7950,8400,8175,16350,10,4,14,24,54,39,50.7,1.3,1200000,25000,8333,1208333,73,Standing,Standing,male,Human,,0,,,,,0,NO-TOKEN,,
Golden Pagoda,264,26420," Kesh the Kaftan Weaver"," kesh weaver"," Kesh the Kaftan Weaver sits here embroidering a gown. "," You see a handsome man standing behind the counter offering to show you his wares. Kesh is a kaftan weaver from some far off land and has a rare collection of exotic dresses and accessories for the rich. He wears a garb of china silk dyed in a bright orange color. On his head he wears a blue turban clasped together with a diamond brooch. ",SENTINEL ISNPC,DETECT-INVISIBLE SANCTUARY INFRAVISION DUAL,-100,Y,41,-13,-6,50,10,7900,7950,8400,8175,16350,10,4,14,24,54,39,50.7,1.3,1200000,25000,8333,1208333,73,Standing,Standing,male,Human,,0,,,,,0,NO-TOKEN,,
Golden Pagoda,264,26421," Benu the Bellydancer"," benu bellydancer"," Benu the Bellydancer is here performing a sensuous dance. "," Benu is the harlot of the Sultanate and quite an attractive one at that ! She wears a skimpy dress made out of virtually transparent silk and a short veil for teasers. The drunken slobs swear that once she begins to move her hips to the music, no one can resist her seductive advances. ",SENTINEL ISNPC,DETECT-INVISIBLE SANCTUARY INFRAVISION DUAL,-100,Y,41,-13,-6,50,10,7900,7950,8400,8175,16350,10,4,14,24,54,39,50.7,1.3,1200000,25000,8333,1208333,73,Standing,Standing,female,Human,,0,,,,,0,NO-TOKEN,,
Golden Pagoda,264,26422," Omar the Opium Dealer"," omar"," Omar the Opium Dealer comes up and offers you a small pipe. "," You see a dirty and stinking thug before you. Omar is a man of little courtesy and he starts swearing at you as soon as he notices that you aren't one of his regular customers. Omar wears a dirty flea ridden kaftan and has a small dagger hidden into his belt. ",SENTINEL ISNPC,DETECT-INVISIBLE SANCTUARY INFRAVISION DUAL,-100,Y,41,-13,-6,50,10,7900,7950,8400,8175,16350,10,4,14,24,54,39,50.7,1.3,1200000,25000,8333,1208333,73,Standing,Standing,male,Human,,0,,,,,0,NO-TOKEN,,
Golden Pagoda,264,26423," Kamal the Charioteer"," kamal charioteer"," Kamal the Charioteer is here fixing a spoke onto a wheel. "," Kamal is a short and wiry young man. he is an expert at horse riding, chariot racing and jousting. He is an extremely agile gladiator himself. You see Kamal dressed in a plain red tunic with tall leather boots and a bronze helmet with green plumes in it. ",SENTINEL ISNPC,DETECT-INVISIBLE SANCTUARY INFRAVISION DUAL,-100,Y,41,-13,-6,50,10,7900,7950,8400,8175,16350,10,4,14,24,54,39,50.7,1.3,1200000,25000,8333,1208333,73,Standing,Standing,male,Human,,0,,,,,0,NO-TOKEN,,
Golden Pagoda,264,26424," Fahad the Kebab Maker"," fahad"," Fahad the Kebab Maker is here preparing Falafels. "," Fahad the falafel salesman and kebab maker extraordinaire stands here tending his stall. He is a young man wearing a white hat and a soiled red shirt. You feel dizzy as you see him flip a bunch of falafels over the grill and stick some kebabs into his oven at the same time. ",SENTINEL ISNPC,DETECT-INVISIBLE SANCTUARY INFRAVISION DUAL,-100,Y,41,-13,-6,50,10,7900,7950,8400,8175,16350,10,4,14,24,54,39,50.7,1.3,1200000,25000,8333,1208333,73,Standing,Standing,male,Human,,0,,,,,0,NO-TOKEN,,
Golden Pagoda,264,26425," Zegna the Seamstress"," zegna seamstress"," Zegna the Seamstress is here modeling a dress for her customers. "," Zegna is the expert seamstress of Jal-Pur and all the nobles get their garments stitched at her boutique. Though she is quite popular, no one has ever seen her. She wears a black flowing dress from her shoulders to her feet, and a long black veil covers her face. She seems to bow as you enter her humble shop. ",SENTINEL ISNPC,DETECT-INVISIBLE SANCTUARY INFRAVISION DUAL,-100,Y,41,-13,-6,50,10,7900,7950,8400,8175,16350,10,4,14,24,54,39,50.7,1.3,1200000,25000,8333,1208333,73,Standing,Standing,male,Human,,0,,,,,0,NO-TOKEN,,
Golden Pagoda,264,26426," Hakkan the Slaver"," hakkan slaver"," Hakkan the Slaver is here whipping and flaying his slaves into shape. "," Before you stands a huge and majestic man with bulging muscles. Hakkan the Slaver wears a short leather skirt held together with a silver belt. He cracks his whip and shouts at his slaves to get in line to present them to some nobles. He is bare chested and wears a pair of bronze gauntlets on his hands. ",SENTINEL ISNPC,DETECT-INVISIBLE SANCTUARY INFRAVISION DUAL,-100,Y,41,-13,-6,50,10,7900,7950,8400,8175,16350,10,4,14,24,54,39,50.7,1.3,1200000,25000,8333,1208333,73,Standing,Standing,male,Human,,0,,,,,0,NO-TOKEN,,
Golden Pagoda,264,26427," Mustafa"," mustafa"," Mustafa is here trying to mark a pair of dice. "," Mustafa is the owner of the local gambling establishment of the Sultanate. He is a scoundrel and a first rate cheater, not to be trusted at any game. Mustafa wears a green kaftan and some matching leggings. He seems to be leering at your armor as he sees you walk into his Dice Den. ",SENTINEL ISNPC,DETECT-INVISIBLE SANCTUARY INFRAVISION DUAL,-100,Y,41,-13,-6,50,10,7900,7950,8400,8175,16350,10,4,14,24,54,39,50.7,1.3,1200000,25000,8333,1208333,73,Standing,Standing,male,Human,,0,,,,,0,NO-TOKEN,,
Golden Pagoda,264,26428," Peshtoon the Painter"," peshtoon painter"," Peshtoon the Painter is here mixing some colors on his palette. "," You see an eccentric painter standing here trying to paint an abstract painting. Peshtoon stands here dressed in clothes which are splattered with all the colors of the rainbow. He turns his head to one side to study his latest masterpiece and then goes into a frenzy of slashing some artistic strokes on the canvas. ",SENTINEL ISNPC,DETECT-INVISIBLE SANCTUARY INFRAVISION DUAL,-100,Y,41,-13,-6,50,10,7900,7950,8400,8175,16350,10,4,14,24,54,39,50.7,1.3,1200000,25000,8333,1208333,73,Standing,Standing,male,Human,,0,,,,,0,NO-TOKEN,,
Golden Pagoda,264,26429," Damar"," damar"," Damar sits here watching over his dates and coconuts. "," You see a stout and jovial fellow shouting out greetings to all passers-by. Damar the date-salesman wears a bright pink robe with an electric blue turban on his head. He seems to be smiling constantly and offers you a juicy coconut to quench your thirst. ",SENTINEL ISNPC,DETECT-INVISIBLE SANCTUARY INFRAVISION DUAL,-100,Y,41,-13,-6,50,10,7900,7950,8400,8175,16350,10,4,14,24,54,39,50.7,1.3,1200000,25000,8333,1208333,73,Standing,Standing,male,Human,,0,,,,,0,NO-TOKEN,,
Golden Pagoda,264,26430," Fawaz the Phrenologist"," fawaz phrenologist phreno"," Fawaz the Phrenologist is here labeling some medicine vials and potions. "," You see a middle aged man of average height standing here studying some health charts. Fawaz the Phrenologist is a very successful healer around these parts but his medicine tastes most foul ! He wears some fancy charms around his wrists and neck and grabs your wrist to analyze your pulse. ",SENTINEL ISNPC,DETECT-INVISIBLE SANCTUARY INFRAVISION DUAL,-100,Y,41,-13,-6,50,10,7900,7950,8400,8175,16350,10,4,14,24,54,39,50.7,1.3,1200000,25000,8333,1208333,73,Standing,Standing,male,Human,,0,,,,,0,NO-TOKEN,,
Golden Pagoda,264,26431," A Jal-Purian Bedouin"," bedouin jal"," A Jal-Purian Bedouin stands here taking care of his business. "," You see a simple man dressed in white desert robes and a flowing headdress. As he opens his mouth to spit in the sand, you glimpse at his teeth capped with pure gold. He seems to be minding his own business and does not seem to mind the heat nor does he acknowledge your presence. ",ISNPC STAY-ZONE MEMORY,INFRAVISION SNEAK DUAL,300,Y,50,-13,-8,20,400,9000,9020,17000,13010,13010,20,2,60,80,100,90,117,1.3,1105000,75000,25000,1130000,86,Standing,Standing,male,Human,,3," KICK PUNCH DISARM"," RAN_ROOM RAN_ROOM RAN_ROOM"," 4 4 3","   ",0,NO-TOKEN,,
Golden Pagoda,264,26475," The Protector of the Faith"," protector"," The Protector of the Faith stands guard here. "," You see the figure of a bald man, in a shining white armor. Once upon a time he was the Guru's right hand, but he has now forsaken the path of Dharma to assume the duties of protecting the Golden Pagoda from intruders. His face is grim and expressionless, and you cannot make out his age since his eyebrows are shaved. ",SENTINEL ISNPC STAY-ZONE,DETECT-INVISIBLE SENSE-LIFE INFRAVISION DUAL,0,Y,31,-4,-10,10,14,5000,5010,5140,5075,5075,10,5,20,30,70,50,65,1.3,600000,0,0,600000,118,Standing,Standing,male,Human,,0,,,,,0,,,
Golden Pagoda,264,26476," The Adept"," adept"," An Adept stands here contemplating the mysteries of the universe. "," You see the mild and meek mannered adept standing here trying to delve into the mysteries of the universe. He is a small and frail bodied person who has turned to join this cult in an attempt to find happiness in his life. ",SENTINEL ISNPC STAY-ZONE,DETECT-INVISIBLE SENSE-LIFE INFRAVISION DUAL,500,Y,32,-9,-10,10,20,12000,12010,12200,12105,12105,12,8,25,37,121,79,102.7,1.3,850000,0,0,850000,70,Standing,Standing,male,Human,,0,,,,,0,,,
Golden Pagoda,264,26477," The Devotee"," devotee"," A Devotee stands here with his head bowed down in prayer. "," You see a man dressed in a plain brown robe with a hood on his head. The hood covers his face completely and you feel that he has not noticed you coming into the room. He is fit and in very good shape. ",SENTINEL ISNPC AGGRESSIVE STAY-ZONE MEMORY,DETECT-INVISIBLE SENSE-LIFE INFRAVISION DODGE,-400,Y,32,-10,-10,16,9,6000,6016,6144,6080,6080,10,5,20,30,70,50,50,1,900000,0,0,900000,148,Standing,Standing,male,Human,,0,,,,,0,,,
Golden Pagoda,264,26478," The Devotee"," devotee"," A Devotee sits here studying some manuscripts. "," You see a man dressed in a plain grey robe with a hood on his head. The hood is drawn back to reveal his ageless face. He is totally engrossed in his work and you feel that your entrance has escaped his notice. He has a serene smile on his face and seems to be in complete control of his emotions. ",SENTINEL ISNPC STAY-ZONE MEMORY,DETECT-INVISIBLE SENSE-LIFE INFRAVISION DODGE,0,Y,32,-11,0,16,9,6000,6016,6144,6080,6080,10,10,35,45,135,90,90,1,900000,0,0,900000,148,Standing,Standing,male,Human,,0,,,,,0,,,
Golden Pagoda,264,26479," The Devotee"," devotee"," A Devotee is here practicing some yoga rituals. "," You see a man dressed in a plain yellow robe with a hood on his head. He is stretching out on the floor following some pattern of moves. Sweat trickles down his face as he puts himself through the same set of stances in an effort to perfect his control over the body. ",SENTINEL ISNPC STAY-ZONE AGGTH MEMORY,DETECT-INVISIBLE SENSE-LIFE INFRAVISION DODGE,400,Y,32,-12,-8,16,9,6000,6016,6144,6080,6080,10,5,20,30,70,50,50,1,900000,0,0,900000,148,Standing,Standing,male,Human,,0,,,,,0,,,
Golden Pagoda,264,26480," The Disciple"," disciple"," A Disciple is sitting here in a deep yoga trance. "," You see the tall and lanky figure of the disciple who is infuriated at the distraction your intrusion has caused him. He is wearing nothing except a small red loincloth. He is one who has yet to learn forgiveness and will make you pay for your folly. ",SENTINEL ISNPC AGGRESSIVE STAY-ZONE MEMORY,DETECT-INVISIBLE SENSE-LIFE INFRAVISION DODGE INVUL,-1000,Y,45,-13,-10,25,8,11000,11025,11200,11112.5,11112.5,25,8,55,80,255,167.5,167.5,1,1100000,0,0,1100000,98,Standing,Standing,male,Human,,0,,,,,0,,,
Golden Pagoda,264,26481," The Healer"," healer"," The Healer is piercing his body with small needles here. "," You see the naked body of a frail and gaunt man with a bald head. As he puts needles into various parts of his body, you see that all his muscles are very well toned. He appears grim, yet has a gentle expression on his face. ",SENTINEL ISNPC STAY-ZONE MEMORY,DETECT-INVISIBLE SENSE-LIFE SPHERE INFRAVISION DODGE INVUL,1000,Y,51,-15,-10,16,12,12500,12516,12692,12604,12604,8,30,75,83,315,199,199,1,1000000,0,0,1000000,79,Standing,Standing,male,Human,,0,,,,,0,,,
Golden Pagoda,264,26482," The Magus"," magus"," The Magus stands here uttering strange mantras. "," He is the last of the Mahayogis of this realm and the final remnant of the cult of Vasmakhai. He wears a black robe with strange symbols embroidered on it. He has pitch black skin and a long beard. You can feel fear building up in your heart as he makes strange gestures in the air with his fingers and conjures up the demons of hell to aid him in killing you. ",SENTINEL ISNPC STAY-ZONE MEMORY,DETECT-INVISIBLE SENSE-LIFE SPHERE INFRAVISION DODGE INVUL DUAL FURY,0,Y,51,-15,-10,12,16,14100,14112,14292,14202,14202,6,14,80,86,164,125,325,1.3,140000,0,0,140000,9,Standing,Standing,male,Human,,0,,,,,0,,,
Golden Pagoda,264,26483," Uber Mustafa"," uber mustafa"," Uber Mustafa stands in the corner, murmuring to himself as he counts his coin. "," Uber Mustafa is a shark and a cheat.  Those who turn down his offer or game wind up beaten or broken.  Those who accept often wind up penniless or in indentured servitude.  Rumor has it, he has an army of ruffians at his beck and call, eagerly awaiting him to owe them a favor, or reduce their debt. ",SENTINEL ISNPC STAY-ZONE MEMORY,DETECT-INVISIBLE SENSE-LIFE SANCTUARY DODGE DUAL,-350,Y,60,-25,-30,200,3,25000,25200,25600,25400,50800,1,44,100,101,144,122.5,159.25,1.3,250000000,20000000,6666666,256666666,5052,Standing,Standing,male,Human,,7," DISARM SPELL CAST SPELL CAST SPELL CAST SPELL CAST SPELL CAST SPELL SKILL"," RAN_GROUP RAN_GROUP ROOM SELF RAN_GROUP RAN_GROUP ROOM"," 10 10 10 5 20 10 10","  conflagration cloud_of_confusion power_of_faith meteor dispel_sanctuary spin_kick",0,,TRIPLE QUAD,
Golden Pagoda,264,26484," A Hooligan"," hooligan"," A Hooligan is here, looking to pilfer some coin or chip. "," The Hooligans are known ruffians of Uber Mustafa.  Often performing violent acts for the man for a handful of poker chips, coin, or even a simple favor. They are not to be trusted, and should be avoided at all costs! ",SENTINEL ISNPC STAY-ZONE AGGRANDOM,DETECT-INVISIBLE DODGE DUAL,-350,Y,50,-10,-25,200,3,7500,7700,8100,7900,7900,10,10,150,160,250,205,266.5,1.3,800000,100000,33333,833333,105,Standing,Standing,male,Human,,5," SPELL CAST PUMMEL BASH PUNCH DISARM"," RAN_GROUP RAN_GROUP RAN_GROUP RAN_GROUP RAN_GROUP"," 20 20 20 20 20"," fear    ",0,,,
Golden Pagoda II,265,26583," The Guru"," guru"," The Guru stands here gazing at a corner deep in thought. "," You are completely enthralled by the dominating personality and towering size of the Great Guru. He wears an ancient war armor even though he has forsaken violence. He wears a red turban on his head and has a long moustache. All in all, he looks terrifying and you wish you were anywhere else but here. ",SENTINEL ISNPC STAY-ZONE MEMORY,DETECT-INVISIBLE SENSE-LIFE SANCTUARY INFRAVISION DODGE DUAL FURY,0,Y,57,-17,-4,2,30,16850,16852,16910,16881,33762,10,8,115,125,195,160,416,1.3,1500000,1,0,1500000,44,Standing,Standing,male,Human,,0,,,,,0,,,
Golden Pagoda II,265,26584," The Enlightened One"," enlightened"," The Enlightened One stands here holding both hands joined above his head. "," The Enlightened One stands here bathed in a rainbow aura. You see a smile of intense joy and happiness on his face. He has reached Nirvana, but has chosen to remain among the mortals to guide them on the path of Karma. ",SENTINEL ISNPC STAY-ZONE,DETECT-INVISIBLE SANCTUARY SPHERE INFRAVISION DODGE DUAL,1000,Y,60,-20,-10,1,300,28000,28001,28300,28150.5,56301,10,20,100,110,300,205,266.5,1.3,2000000,1,0,2000000,35,Standing,Standing,male,Lesser Planar,PUMMEL,0,,,,,0,,,
Golden Pagoda II,265,26585," The Uber Enlightened One"," enlightened uber"," The Uber Enlightened One sits here, folded blissfully like a pretzel. "," The Uber Enlightened One sits here, his arms and legs twined about his lithe body in what must be a pose intended only for those who have reached complete Nirvana. Though it looks uncomfortable, he is bathed in a rainbow glow and wears a cheshire smile on his beaming face. He is here by choice, to guide the followers in his pagoda on their own path to enlightenment and teach them the ways of Karma. ",SENTINEL ISNPC STAY-ZONE,DETECT-INVISIBLE INFRAVISION DUAL,0,Y,70,-18,-22,100,300,111111,111211,141111,126161,126161,20,20,200,220,600,410,533,1.3,100000000,0,0,100000000,792,Standing,Standing,male,Greater Planar,PUMMEL KICK PUNCH SUMMON HIT,0,,,,,0,,TRIPLE QUAD,
